job_id,arrival_time,duration,gpu_milli,num_gpus
342,10282240.00,1778.00,470,1
343,10282361.00,906.00,1000,1
344,10282412.00,4280.00,220,1
345,10282878.00,637.00,1000,1
346,10283250.00,487.00,1000,1
347,10283282.00,2890.00,1000,1
348,10283554.00,2906.00,1000,1
349,10283834.00,927.00,1000,1
350,10284572.00,3065.00,1000,1
351,10284612.00,3710.00,1000,1
352,10285062.00,2697.00,1000,1
353,10285584.00,243804.00,1000,1
354,10285684.00,551.00,810,1
355,10286148.00,1560.00,1000,1
356,10286237.00,802.00,470,1
357,10287566.00,4763.00,1000,1
358,10287821.00,4762.00,1000,1
359,10287906.00,875.00,1000,1
360,10287971.00,738.00,470,1
361,10288025.00,1674.00,1000,1
362,10288251.00,491.00,1000,1
363,10290217.00,2612743.00,1000,1
364,10290217.00,2612743.00,1000,1
365,10290268.00,755.00,1000,1
366,10290997.00,951422.00,1000,1
367,10291241.00,119.00,470,1
368,10291568.00,78199.00,550,1
369,10291860.00,6359.00,1000,1
370,10292589.00,2342266.00,1000,1
371,10292824.00,4035.00,1000,1
372,10293013.00,1000.00,1000,1
373,10293874.00,540.00,1000,1
374,10294021.00,4102.00,1000,1
375,10294984.00,3308.00,1000,1
376,10296005.00,704.00,1000,1
377,10296182.00,2038.00,1000,1
378,10297478.00,895.00,1000,1
379,10297562.00,270.00,1000,1
380,10297584.00,809.00,1000,1
381,10297734.00,608.00,1000,1
382,10298377.00,1001.00,230,1
383,10298794.00,9061.00,1000,1
384,10298876.00,4002.00,1000,1
385,10299155.00,537.00,460,1
386,10299470.00,3658.00,650,1
387,10299478.00,946.00,650,1
388,10299568.00,88.00,1000,1
389,10299841.00,1662.00,230,1
390,10300246.00,1931.00,1000,1
391,10303910.00,652.00,1000,1
392,10303910.00,505.00,1000,1
393,10305589.00,38061.00,470,1
394,10306030.00,1517.00,470,1
395,10306710.00,1897.00,1000,1
396,10306993.00,1555.00,1000,1
397,10307276.00,1234.00,1000,1
398,10308033.00,20221.00,1000,1
399,10311803.00,363.00,220,1
400,10315182.00,3182.00,1000,1
401,10315953.00,566821.00,1000,1
402,10316091.00,23498.00,50,1
403,10317757.00,3665.00,1000,1
404,10319606.00,2511.00,110,1
405,10321771.00,5411.00,320,1
406,10321913.00,12161.00,220,1
407,10323648.00,715.00,1000,1
408,10325258.00,1506.00,1000,1
409,10325800.00,3390.00,1000,1
410,10326430.00,1247.00,230,1
411,10326485.00,9479.00,320,1
412,10327751.00,1095.00,230,1
413,10328513.00,333.00,320,1
414,10330595.00,13021.00,1000,1
415,10336967.00,9038.00,220,1
416,10337134.00,569.00,460,1
417,10338801.00,1367.00,1000,1
418,10340196.00,1070.00,1000,1
419,10341278.00,1856.00,460,1
420,10342138.00,270.00,1000,1
421,10343681.00,2324.00,320,1
422,10343714.00,3928.00,1000,1
423,10343715.00,4472.00,1000,1
424,10344404.00,1660.00,1000,1
425,10344444.00,4480.00,1000,1
426,10344620.00,1201.00,320,1
427,10344645.00,429.00,230,1
428,10345822.00,183.00,320,1
429,10345975.00,3562.00,1000,1
430,10347405.00,1605.00,1000,1
431,10347817.00,2096.00,320,1
432,10348057.00,192.00,1000,1
433,10348477.00,4617.00,1000,1
434,10348594.00,4111.00,1000,1
435,10349004.00,619.00,1000,1
436,10349201.00,1560.00,1000,1
437,10349365.00,4491.00,1000,1
438,10349476.00,378.00,470,1
439,10349496.00,343.00,230,1
440,10349561.00,1800.00,1000,1
441,10353158.00,2864.00,1000,1
442,10354340.00,3555.00,470,1
443,10354755.00,236.00,1000,1
444,10354939.00,2035.00,1000,1
445,10354953.00,540.00,460,1
446,10359007.00,1283.00,1000,1
447,10359296.00,52.00,1000,1
448,10360992.00,3095.00,1000,1
449,10361057.00,3240.00,1000,1
450,10361148.00,203.00,470,1
451,10362192.00,2105.00,1000,1
452,10362464.00,1643508.00,1000,1
453,10362627.00,3855.00,320,1
454,10364499.00,15090.00,1000,1
455,10366655.00,2100.00,1000,1
456,10366655.00,4201.00,1000,1
457,10368044.00,2865.00,470,1
458,10368051.00,9467.00,1000,1
459,10368935.00,968.00,1000,1
460,10369368.00,2918.00,1000,1
461,10369891.00,521660.00,140,1
462,10369903.00,1863.00,1000,1
463,10370192.00,661.00,460,1
464,10371165.00,1197.00,1000,1
465,10373128.00,4114.00,1000,1
466,10374297.00,1111.00,470,1
467,10374738.00,1721.00,1000,1
468,10375735.00,467.00,470,1
469,10380337.00,3778.00,1000,1
470,10380823.00,11992.00,1000,1
471,10381421.00,11965.00,1000,1
472,10381988.00,3615.00,1000,1
473,10383430.00,166.00,470,1
474,10383479.00,50089.00,810,1
475,10384661.00,1504.00,1000,1
476,10384668.00,1509.00,1000,1
477,10387214.00,51.00,1000,1
478,10387422.00,11791.00,1000,1
479,10389446.00,57.00,470,1
480,10390019.00,131.00,470,1
481,10390956.00,539.00,1000,1
482,10392044.00,3777.00,1000,1
483,10392058.00,62.00,1000,1
484,10392972.00,121.00,1000,1
485,10393303.00,9659.00,1000,1
