figure,source,role,policy,jobs_per_hr,seed,saturated,n_window_jobs,mean,p10,p50,p75,p90,p99,p99.9,p100
fig10,ours,gavel,max_min_fairness_perf,1.8,0,False,1000,18.62598821414524,1.1190343695746527,4.660722384982639,14.701805555555556,56.20575260416666,161.31938715277772,220.09754968752316,477.1121875
fig10,ours,gavel,max_min_fairness_perf,1.8,1,False,1000,16.36113760260688,1.0887266981336807,4.584434678819444,13.847835015190974,49.838657118055586,148.16177517361112,187.48011267361224,199.8373611111111
fig10,ours,gavel,max_min_fairness_perf,1.8,2,False,1000,17.096942160169814,1.105339823404948,4.589472113715278,13.596815049913195,47.78007552083342,154.89451510416663,231.37388593750114,244.2746875
fig10,ours,gavel,max_min_fairness_perf,1.8,all,False,3000,17.36135599230731,1.0999075249565973,4.616775716145833,14.082795952690972,52.747972656249964,154.86261510416657,219.85179847222457,477.1121875
fig10,ours,gavel,max_min_fairness_perf,2.0,0,False,1000,20.01759830769857,1.1326369222005208,4.847882758246528,15.134826117621529,56.28061024305557,188.64638437499997,302.9117637847436,540.0284722222223
fig10,ours,gavel,max_min_fairness_perf,2.0,1,False,1000,17.365626266242135,1.1427459988064237,4.659867892795139,14.875125054253473,52.65678819444446,150.84675677083334,236.56654781250148,253.01109375
fig10,ours,gavel,max_min_fairness_perf,2.0,2,False,1000,18.393793158331977,1.135344740125868,4.815811089409722,14.661267632378472,53.028210937500056,182.66041319444443,283.0335086111122,295.0023611111111
fig10,ours,gavel,max_min_fairness_perf,2.0,all,False,3000,18.592339244090894,1.1371278415256076,4.787137858072916,14.877918023003472,54.15560546874998,166.94521822916593,295.0076239930566,540.0284722222223
fig10,ours,gavel,max_min_fairness_perf,2.2,0,False,1000,22.27253385572645,1.1586134575737848,4.9830962456597225,16.17166042751736,61.76190234375001,255.15649600694437,419.4209749305836,730.2930555555556
fig10,ours,gavel,max_min_fairness_perf,2.2,1,False,1000,19.370676254577635,1.1107509969075522,5.0483610026041665,16.684362521701388,59.00868706597223,167.55410104166666,295.07570013889034,310.93357638888887
fig10,ours,gavel,max_min_fairness_perf,2.2,2,False,1000,20.299891962280274,1.1405074462890625,4.999655490451389,15.290128309461807,55.481045572916685,211.80019010416657,368.06855208334235,468.04833333333335
fig10,ours,gavel,max_min_fairness_perf,2.2,all,False,3000,20.647700690861456,1.1334044392903646,5.008479546440972,16.078963758680555,58.23582074652775,195.17160138888883,374.1651979166758,730.2930555555556
fig10,ours,gavel,max_min_fairness_perf,2.4,0,False,1000,27.12749462595622,1.1702765163845488,5.709082573784722,17.512101508246527,72.36644357638893,368.9413083333331,684.7980100694829,1112.2413194444443
