name,policy,jobs_per_hr,runtime_sec,jct_sec,utilization,saturated
fig11_finish_time_fairness_perf_2.6000000000000005jph_multi_s2,finish_time_fairness_perf,2.6000000000000005,1032.0,79862.25,96.69,True
fig11_finish_time_fairness_perf_2.8000000000000003jph_multi_s0,finish_time_fairness_perf,2.8000000000000003,1059.77,98592.73,96.78,True
fig11_finish_time_fairness_perf_2.8000000000000003jph_multi_s1,finish_time_fairness_perf,2.8000000000000003,5762.42,94137.72,96.6,True
fig11_finish_time_fairness_perf_2.8000000000000003jph_multi_s2,finish_time_fairness_perf,2.8000000000000003,609.47,98477.74,97.39,True
fig11_finish_time_fairness_perf_3.0000000000000004jph_multi_s0,finish_time_fairness_perf,3.0000000000000004,1335.9,119554.71,97.5,True
fig11_finish_time_fairness_perf_3.0000000000000004jph_multi_s1,finish_time_fairness_perf,3.0000000000000004,1290.57,126294.99,98.2,True
fig11_finish_time_fairness_perf_3.0000000000000004jph_multi_s2,finish_time_fairness_perf,3.0000000000000004,1477.3,119695.29,97.87,True
fig11_finish_time_fairness_perf_3.2jph_multi_s0,finish_time_fairness_perf,3.2,1636.77,145330.71,97.89,True
fig11_finish_time_fairness_perf_3.2jph_multi_s1,finish_time_fairness_perf,3.2,1681.37,151910.02,98.82,True
fig11_finish_time_fairness_perf_3.2jph_multi_s2,finish_time_fairness_perf,3.2,1777.72,151222.17,98.19,True
fig11_finish_time_fairness_perf_3.4000000000000004jph_multi_s0,finish_time_fairness_perf,3.4000000000000004,1986.23,169962.87,98.17,True
fig11_finish_time_fairness_perf_3.4000000000000004jph_multi_s1,finish_time_fairness_perf,3.4000000000000004,2099.42,187991.5,99.03,True
fig11_finish_time_fairness_perf_3.4000000000000004jph_multi_s2,finish_time_fairness_perf,3.4000000000000004,1160.96,196369.66,98.44,True
fig9_max_min_fairness_0.4jph_single_s0,max_min_fairness,0.4,70.04,inf,8.55,True
fig9_max_min_fairness_0.4jph_single_s1,max_min_fairness,0.4,66.7,inf,8.04,True
fig9_max_min_fairness_0.4jph_single_s2,max_min_fairness,0.4,74.76,inf,9.47,True
fig9_max_min_fairness_0.8jph_single_s0,max_min_fairness,0.8,116.73,inf,16.78,True
fig9_max_min_fairness_0.8jph_single_s1,max_min_fairness,0.8,117.35,inf,16.86,True
fig9_max_min_fairness_0.8jph_single_s2,max_min_fairness,0.8,127.77,inf,18.81,True
fig9_max_min_fairness_1.2000000000000002jph_single_s0,max_min_fairness,1.2000000000000002,162.68,inf,25.19,True
fig9_max_min_fairness_1.2000000000000002jph_single_s1,max_min_fairness,1.2000000000000002,169.46,inf,26.45,True
fig9_max_min_fairness_1.2000000000000002jph_single_s2,max_min_fairness,1.2000000000000002,167.61,inf,26.14,True
fig9_max_min_fairness_1.6jph_single_s0,max_min_fairness,1.6,198.73,inf,32.93,True
fig9_max_min_fairness_1.6jph_single_s1,max_min_fairness,1.6,204.85,inf,35.05,True
fig9_max_min_fairness_1.6jph_single_s2,max_min_fairness,1.6,196.45,inf,33.62,True
fig9_max_min_fairness_2.4jph_single_s0,max_min_fairness,2.4,284.71,62760.67,50.07,True
fig9_max_min_fairness_2.4jph_single_s1,max_min_fairness,2.4,321.68,63841.08,50.75,True
fig9_max_min_fairness_2.4jph_single_s2,max_min_fairness,2.4,268.64,63825.53,48.3,True
fig9_max_min_fairness_2.8000000000000003jph_single_s0,max_min_fairness,2.8000000000000003,299.06,85809.61,58.74,False
fig9_max_min_fairness_2.8000000000000003jph_single_s1,max_min_fairness,2.8000000000000003,286.65,75805.15,58.72,False
fig9_max_min_fairness_2.8000000000000003jph_single_s2,max_min_fairness,2.8000000000000003,283.41,86035.5,56.61,True
fig9_max_min_fairness_3.2jph_single_s0,max_min_fairness,3.2,279.49,85682.59,66.83,False
fig9_max_min_fairness_3.2jph_single_s1,max_min_fairness,3.2,284.64,76139.29,66.83,False
fig9_max_min_fairness_3.2jph_single_s2,max_min_fairness,3.2,284.28,86678.57,64.43,False
fig9_max_min_fairness_3.6jph_single_s0,max_min_fairness,3.6,283.33,85589.08,74.88,False
fig9_max_min_fairness_3.6jph_single_s1,max_min_fairness,3.6,272.47,76258.21,74.86,False
fig9_max_min_fairness_3.6jph_single_s2,max_min_fairness,3.6,267.24,86992.19,72.27,False
fig9_max_min_fairness_4.0jph_single_s0,max_min_fairness,4.0,266.87,85458.32,82.83,False
fig9_max_min_fairness_4.0jph_single_s1,max_min_fairness,4.0,270.96,76076.59,82.79,False
fig9_max_min_fairness_4.0jph_single_s2,max_min_fairness,4.0,269.62,87160.86,80.19,False
fig9_max_min_fairness_4.4jph_single_s0,max_min_fairness,4.4,266.99,86308.95,90.64,False
fig9_max_min_fairness_4.4jph_single_s1,max_min_fairness,4.4,255.25,76749.37,90.68,False
fig9_max_min_fairness_4.4jph_single_s2,max_min_fairness,4.4,278.84,88280.68,87.87,False
fig9_max_min_fairness_4.800000000000001jph_single_s0,max_min_fairness,4.800000000000001,340.71,138330.44,96.3,False
fig9_max_min_fairness_4.800000000000001jph_single_s1,max_min_fairness,4.800000000000001,356.53,153333.19,96.01,False
fig9_max_min_fairness_4.800000000000001jph_single_s2,max_min_fairness,4.800000000000001,293.18,95651.39,95.23,False
fig9_max_min_fairness_5.200000000000001jph_single_s0,max_min_fairness,5.200000000000001,477.2,239351.32,97.8,False
fig9_max_min_fairness_5.200000000000001jph_single_s1,max_min_fairness,5.200000000000001,564.17,246596.47,97.52,False
fig9_max_min_fairness_5.200000000000001jph_single_s2,max_min_fairness,5.200000000000001,376.06,173318.51,98.43,False
fig9_max_min_fairness_5.6000000000000005jph_single_s0,max_min_fairness,5.6000000000000005,613.34,337256.41,98.57,True
fig9_max_min_fairness_5.6000000000000005jph_single_s1,max_min_fairness,5.6000000000000005,648.2,302495.36,98.15,True
fig9_max_min_fairness_5.6000000000000005jph_single_s2,max_min_fairness,5.6000000000000005,558.61,296002.33,98.92,False
fig9_max_min_fairness_6.000000000000001jph_single_s0,max_min_fairness,6.000000000000001,719.82,384300.37,98.92,True
fig9_max_min_fairness_6.000000000000001jph_single_s1,max_min_fairness,6.000000000000001,772.86,347964.16,98.56,True
fig9_max_min_fairness_6.000000000000001jph_single_s2,max_min_fairness,6.000000000000001,686.26,352524.59,99.1,True
fig9_max_min_fairness_6.4jph_single_s0,max_min_fairness,6.4,844.49,410915.78,99.1,True
fig9_max_min_fairness_6.4jph_single_s1,max_min_fairness,6.4,887.23,379084.84,98.85,True
fig9_max_min_fairness_6.4jph_single_s2,max_min_fairness,6.4,810.95,406886.48,99.24,True
fig9_max_min_fairness_6.800000000000001jph_single_s0,max_min_fairness,6.800000000000001,1277.62,434406.94,99.21,True
fig9_max_min_fairness_6.800000000000001jph_single_s1,max_min_fairness,6.800000000000001,1335.11,428232.18,99.04,True
