metric,demand_pct,policy,mean_value,std_value,n_seeds,paper_value
frag_rate_pct,70,dotprod,32.58,0.95,3,
frag_rate_pct,70,fgd,23.73,0.08,3,24
frag_rate_pct,70,gpuclustering,35.84,0.91,3,33
frag_rate_pct,70,gpupacking,26.32,0.32,3,
frag_rate_pct,70,random,38.11,0.5,3,48
frag_rate_pct,75,bestfit,29.08,0.91,3,
frag_rate_pct,75,dotprod,37.75,1.43,3,
frag_rate_pct,75,fgd,26.37,0.13,3,
frag_rate_pct,75,gpuclustering,42.43,1.9,3,
frag_rate_pct,75,gpupacking,29.62,0.43,3,
frag_rate_pct,75,random,42.74,0.47,3,62
frag_rate_pct,80,bestfit,33.7,1.29,3,
frag_rate_pct,80,dotprod,44.79,1.85,3,
frag_rate_pct,80,fgd,30.26,0.17,3,30
frag_rate_pct,80,gpuclustering,50.93,1.92,3,45
frag_rate_pct,80,gpupacking,34.33,0.56,3,
frag_rate_pct,80,random,49.73,1.06,3,76
frag_rate_pct,85,bestfit,41.39,1.74,3,
frag_rate_pct,85,dotprod,53.82,1.91,3,
frag_rate_pct,85,fgd,36.73,0.31,3,37
frag_rate_pct,85,gpuclustering,58.84,2.22,3,58
frag_rate_pct,85,gpupacking,42.28,0.88,3,
frag_rate_pct,85,random,60.59,1.99,3,94
frag_rate_pct,90,bestfit,57.01,2.85,3,
frag_rate_pct,90,dotprod,66.75,3.58,3,
frag_rate_pct,90,fgd,49.64,0.4,3,48
frag_rate_pct,90,gpuclustering,67.99,3.38,3,98
frag_rate_pct,90,gpupacking,58.32,1.51,3,
frag_rate_pct,90,random,78.1,3.77,3,
frag_rate_pct,95,bestfit,98.82,1.4,3,
frag_rate_pct,95,dotprod,92.94,4.52,3,
frag_rate_pct,95,fgd,88.07,0.19,3,100
frag_rate_pct,95,gpuclustering,82.68,3.87,3,
frag_rate_pct,95,gpupacking,99.81,0.01,3,
frag_rate_pct,95,random,96.77,0.28,3,99
frag_rate_pct,100,bestfit,99.8,0.01,3,
frag_rate_pct,100,dotprod,96.84,0.41,3,
frag_rate_pct,100,fgd,99.78,0.01,3,
frag_rate_pct,100,gpuclustering,96.56,0.16,3,99
frag_rate_pct,100,gpupacking,99.82,0.01,3,
frag_rate_pct,100,random,97.8,0.22,3,98
frag_rate_pct,105,bestfit,99.8,0.01,3,
frag_rate_pct,105,dotprod,97.62,0.4,3,
frag_rate_pct,105,fgd,99.78,0.01,3,
frag_rate_pct,105,gpuclustering,97.37,0.19,3,99
frag_rate_pct,105,gpupacking,99.82,0.01,3,
frag_rate_pct,105,random,98.56,0.23,3,98
frag_rate_pct,110,bestfit,99.8,0.01,3,
frag_rate_pct,110,dotprod,98.41,0.34,3,
frag_rate_pct,110,fgd,99.77,0.01,3,99
frag_rate_pct,110,gpuclustering,98.3,0.22,3,97
frag_rate_pct,110,gpupacking,99.82,0.01,3,
frag_rate_pct,110,random,99.18,0.1,3,98
frag_rate_pct,115,bestfit,99.8,0.01,3,
frag_rate_pct,115,dotprod,99.16,0.07,3,
frag_rate_pct,115,fgd,99.77,0.01,3,
frag_rate_pct,115,gpuclustering,99.09,0.3,3,
frag_rate_pct,115,gpupacking,99.82,0.01,3,
frag_rate_pct,115,random,99.33,0.06,3,
frag_rate_pct,120,bestfit,99.8,0.01,3,
frag_rate_pct,120,dotprod,99.26,0.07,3,
frag_rate_pct,120,fgd,99.77,0.0,3,97
frag_rate_pct,120,gpuclustering,99.41,0.08,3,97
frag_rate_pct,120,gpupacking,99.82,0.01,3,
frag_rate_pct,120,random,99.42,0.06,3,98
occupied_nodes,0,bestfit,6.0,0.0,3,
occupied_nodes,0,dotprod,9.0,0.0,3,
occupied_nodes,0,fgd,8.0,0.82,3,0
occupied_nodes,0,gpuclustering,10.0,0.0,3,0
occupied_nodes,0,gpupacking,6.67,0.47,3,
occupied_nodes,0,random,10.0,0.0,3,0
occupied_nodes,5,bestfit,137.82,5.85,3,
occupied_nodes,5,dotprod,237.63,10.98,3,
occupied_nodes,5,fgd,180.41,3.2,3,
occupied_nodes,5,gpuclustering,353.64,16.96,3,
occupied_nodes,5,gpupacking,170.53,5.37,3,
occupied_nodes,5,random,311.58,12.48,3,
occupied_nodes,10,bestfit,256.85,3.72,3,
